title,fight_scenes,kiss_scenes,label
Love in Paris,1,9,0
The Romantic Escape,2,8,0
Kiss Me Again,0,10,0
Hearts and Flowers,1,7,0
Explosion Force,9,1,1
Battlefield Earth,10,0,1
Steel Warriors,8,2,1
Rogue Assassin,7,1,1
Sweet Embrace,2,6,0
The Final Strike,8,3,1
Tears of Venice,1,8,0
Hugs and Roses,0,9,0
Passionate Affair,1,10,0
Midnight Tango,2,7,0
Cherry Blossom Love,0,8,0
Heartstrings,1,9,0
The Sniper Code,9,2,1
Blood and Honor,10,1,1
Revenge Protocol,8,0,1
Lethal Alliance,9,1,1
Undercover Flame,7,2,1
Combat Zone,10,0,1
Grenade Heart,8,1,1
Operation Viper,9,2,1
Red Passion,2,7,0
Love's Horizon,1,8,0
Forever Yours,0,10,0
Velvet Fire,1,6,0
Bulletproof Hearts,7,1,1
Crimson Oath,8,2,1
